,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
332,2010.0,1.05,1.23,0.03,0.47,2.78,59.0,301.0,H,1
333,2011.0,1.35,1.13,0.06,0.3,2.78,22.0,31.0,L,0
334,2011.0,0.89,1.43,0.06,0.46,2.78,32.0,4926.0,H,1
335,2015.0,1.5,0.8,0.04,0.48,2.78,81.0,836.0,H,1
336,2011.0,1.45,0.86,0.09,0.38,2.77,85.0,942.0,H,1
337,2008.0,1.74,0.77,0.04,0.26,2.77,74.0,389.0,L,0
338,2006.0,1.45,0.07,0.05,0.15,2.76,42.0,67.0,L,0
339,2011.0,1.25,1.14,0.07,0.3,2.76,70.0,490.0,H,1
340,2009.0,1.2,0.97,0.17,0.42,2.75,63.0,211.0,L,0
341,2007.0,0.17,1.19,0.04,0.29,2.73,44.0,174.0,L,0
342,2015.0,0.41,1.84,0.05,0.4,2.71,18.0,58.0,L,0
